,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.ncbi.nlm.nih.gov/gene/?term=,,,"Enter below the search word(s) contained in column E, gene description--current count for T cells is 9",,,,,,,,,,,,,,X11249_average counts,X11250_average counts,X11251_average counts,X11253_average counts,X11257_average counts,X11258_average counts,X11247_average counts,X11248_average counts,X11252_average counts,X11254_average counts,X11255_average counts,X11256_average counts,,,,,,0.05,2,-2
Rcc1,Rcc1,100088,"4931417M11Rik, AI326872, Chc1",regulator of chromosome condensation 1,,4_132331919_132345750,11, 0.64 ,2,-1.56,19.76939731,-0.629633381,0.331607581,-1.898730354,0.0576,0.99974,2,-1.55, 11.3 , 7.6 , 16.1 , 12.9 , 23.3 , 21.5 , 23.4 , 23.1 , 28.1 , 29.0 , 21.4 , 19.6 ,,,,,,,,
Rgs18,Rgs18,64214,0,regulator of G-protein signaling 18,,1_144752692_144775421,6, 1.38 ,1,1.38,631.4106643,0.460915446,0.242923932,1.897365329,0.0578,0.99974,1,1.38, 537.4 , 914.1 ," 1,087.4 ", 486.5 , 592.2 , 770.1 , 317.2 , 507.3 , 667.0 , 500.6 , 555.5 , 641.8 ,,,,,,,,
Kbtbd2,Kbtbd2,210973,"BC022962, Bklhd1, mKIAA1489",kelch repeat and BTB (POZ) domain containing 2,,6_56777524_56798275,5, 0.55 ,2,-1.82,11.39325499,-0.851160477,0.449085874,-1.895317861,0.0581,0.99974,2,-1.80, 9.6 , 7.6 , 10.3 , 9.2 , 4.7 , 7.2 , 14.0 , 21.8 , 14.0 , 23.8 , 6.9 , 7.6 ,,,,,,,,
Ccl5,Ccl5,20304,"MuRantes, RANTES, SISd, Scya5, TCP228",chemokine (C-C motif) ligand 5,,11_83525778_83530518,3, 0.54 ,2,-1.84,41.83467651,-0.91402911,0.482359506,-1.894912608,0.0581,0.99974,2,-1.88, 26.1 , 22.7 , 27.5 , 18.5 , 44.2 , 37.7 , 166.5 , 63.1 , 35.8 , 24.9 , 22.9 , 12.1 ,,,,,,,,
Mmaa,Mmaa,109136,"2810018E08Rik, AI840684",methylmalonic aciduria (cobalamin deficiency) type A,,8_79264498_79294980,13, 0.19 ,5,-5.18,1.812159462,-2.052314049,1.083347336,-1.894419251,0.0582,0.99974,4,-4.15, 1.7 , -   , -   , 0.6 , 1.2 , -   , 4.0 , 0.6 , 6.2 , 2.1 , 3.8 , 1.5 ,,,,,,,,
Chid1,Chid1,68038,"3110023E09Rik, AI841869",chitinase domain containing 1,,7_141493136_141539891,15, 0.67 ,2,-1.50,42.58008797,-0.561927379,0.296738321,-1.893679851,0.0583,0.99974,1,-1.48, 52.2 , 27.8 , 33.3 , 37.0 , 32.6 , 21.5 , 49.2 , 45.5 , 53.0 , 65.3 , 69.4 , 24.2 ,,,,,,,,
Ska1,Ska1,66468,"2810433K01Rik, AV117428",spindle and kinetochore associated complex subunit 1,,18_74195299_74207818,7, 0.51 ,2,-1.95,20.81320819,-0.888485689,0.469266385,-1.893350384,0.0583,0.99974,2,-1.85, 21.7 , 12.6 , 2.3 , 31.4 , 5.8 , 10.8 , 11.6 , 23.1 , 28.1 , 36.3 , 35.9 , 30.2 ,,,,,,,,
Zfp68,Zfp68,24135,"KRAB3, KRAZ2, Zfp70, mszf22, mszf49",zinc finger protein 68,,5_138603652_138619743,6, 0.55 ,2,-1.83,20.03585716,-0.854844217,0.451841158,-1.891913125,0.0585,0.99974,2,-1.81, 13.0 , 12.6 , 19.5 , 6.8 , 18.6 , 14.4 , 25.8 , 19.4 , 62.3 , 6.2 , 16.0 , 25.7 ,,,,,,,,
Nup214,Nup214,227720,"BC039282, CAN, D2H9S46E",nucleoporin 214,,2_31974418_32053975,37, 2.66 ,3,2.66,5.007418829,1.236030261,0.653555438,1.891240115,0.0586,0.99974,2,2.36, 7.0 , 10.1 , 8.0 , 8.0 , 7.0 , 3.6 , 5.4 , 1.8 , 3.1 , -   , 6.1 , -   ,,,,,,,,
Dnlz,Dnlz,52838,"1110034G11Rik, D2Bwg1335e, HEP1",DNL-type zinc finger,,2_26348118_26352110,3, 0.61 ,2,-1.65,27.67920996,-0.695149507,0.367944262,-1.889279377,0.0589,0.99974,2,-1.62, 31.3 , 17.7 , 27.5 , 30.2 , 11.6 , 7.2 , 45.1 , 42.5 , 31.2 , 30.1 , 42.7 , 15.1 ,,,,,,,,
Nsl1,Nsl1,381318,"4833432M17Rik, AI451597, Gm105, Gm984","NSL1, MIS12 kinetochore complex component",,1_191062993_191084558,9, 1.69 ,2,1.69,19.40893995,0.775261138,0.410471009,1.888711069,0.0589,0.99974,2,1.71, 31.3 , 17.7 , 10.3 , 26.5 , 20.9 , 39.5 , 8.2 , 16.4 , 7.8 , 30.1 , 10.7 , 13.6 ,,,,,,,,
Chit1,Chit1,71884,2300002L19Rik,chitinase 1 (chitotriosidase),,1_134111242_134151541,14, 7.66 ,8,7.66,1.624846557,2.321082102,1.231144045,1.885305064,0.0594,0.99974,5,5.00, 1.7 , 10.1 , 1.1 , 2.5 , -   , 1.8 , 1.2 , -   , -   , 1.0 , -   , -   ,,,,,,,,
Nop10,Nop10,66181,"1110036B12Rik, NOP10P, Nola3",NOP10 ribonucleoprotein,,2_112261926_112262898,2, 0.72 ,1,-1.39,101.8186396,-0.473900105,0.251559328,-1.883850258,0.0596,0.99974,1,-1.39, 75.7 , 128.8 , 94.1 , 108.5 , 58.2 , 46.7 , 91.4 , 115.9 , 112.2 , 108.8 , 147.3 , 134.4 ,,,,,,,,
Tctex1d2,Tctex1d2,66061,"0610012D17Rik, 2410011K15Rik",Tctex1 domain containing 2,,16_32419685_32429099,5, 0.55 ,2,-1.81,15.49122729,-0.809064189,0.43008164,-1.881187465,0.0599,0.99974,2,-1.75, 15.7 , 2.5 , 10.3 , 9.2 , 10.5 , 18.0 , 8.8 , 26.1 , 9.4 , 23.8 , 24.4 , 27.2 ,,,,,,,,
Sdpr,Sdpr,0,#N/A,#N/A,,#N/A,#N/A, 1.63 ,2,1.63,103.405406,0.708698659,0.377277292,1.878455645,0.0603,0.99974,2,1.63, 100.0 , 116.2 , 274.1 , 54.3 , 141.9 , 82.6 , 104.0 , 63.1 , 159.0 , 42.5 , 48.8 , 54.4 ,,,,,,,,
Paxip1,Paxip1,55982,"D5Ertd149e, PTIP",PAX interacting (with transcription-activation domain) protein 1,,5_27740080_27791813,21, 8.43 ,8,8.43,1.28096643,2.375757865,1.265422649,1.877442187,0.0605,0.99974,5,5.19, 1.7 , 2.5 , -   , 1.2 , 4.7 , 3.6 , 0.9 , -   , -   , -   , 0.8 , -   ,,,,,,,,
Trem2,Trem2,83433,"TREM-2a, Trem2b, Trem2c, Trem2",triggering receptor expressed on myeloid cells 2,,17_48346401_48352276,5, 0.55 ,2,-1.82,10.79604588,-0.945883377,0.503914286,-1.877071959,0.0605,0.99974,2,-1.93, 2.6 , 10.1 , 5.7 , 8.0 , 7.0 , 12.6 , 17.7 , 6.1 , 3.1 , 21.8 , 16.8 , 18.1 ,,,,,,,,
Cul4a,Cul4a,99375,"2810470J21Rik, AW495282",cullin 4A,,8_13105520_13147940,20, 1.35 ,1,1.35,1134.57343,0.435839672,0.232302902,1.876169726,0.0606,0.99974,1,1.35," 1,153.9 "," 1,469.6 "," 1,439.5 ", 825.6 ," 1,339.2 "," 1,601.2 "," 1,036.3 ", 941.1 ," 1,558.3 ", 669.6 , 743.9 , 836.6 ,,,,,,,,
Scrn3,Scrn3,74616,"4833415E20Rik, AI427019, AV002033, Ses3",secernin 3,,2_73312652_73337818,11, 1.36 ,1,1.36,55.57529163,0.473831403,0.25260333,1.875792387,0.0607,0.99974,1,1.39, 81.7 , 48.0 , 51.6 , 62.3 , 51.2 , 89.8 , 34.7 , 50.4 , 48.3 , 46.6 , 40.4 , 61.9 ,,,,,,,,
Cpm,Cpm,70574,"1110060I01Rik, 5730456K23Rik, AA589379, E030045M14Rik",carboxypeptidase M,,10_117629500_117687352,10, 0.13 ,8,-7.67,1.730841422,-2.400548544,1.279838133,-1.875665744,0.0607,0.99974,5,-5.28, -   , -   , -   , 1.2 , 1.2 , -   , 2.6 , 0.6 , 1.6 , -   , 1.5 , 12.1 ,,,,,,,,
4833442J19Rik,4833442J19Rik,0,#N/A,#N/A,,#N/A,#N/A, 1.60 ,2,1.60,20.46265934,0.758639594,0.404588574,1.875089025,0.0608,0.99974,2,1.69, 39.1 , 22.7 , 20.6 , 44.4 , 15.1 , 9.0 , 9.4 , 19.4 , 15.6 , 17.6 , 9.9 , 22.7 ,,,,,,,,
Gdi1,Gdi1,14567,"GDIA, GDIalpha",guanosine diphosphate (GDP) dissociation inhibitor 1,,X_74305012_74311867,11, 0.64 ,2,-1.56,37.79265639,-0.601757289,0.321142961,-1.873798782,0.0610,0.99974,2,-1.52, 23.5 , 17.7 , 28.7 , 41.9 , 25.6 , 39.5 , 25.1 , 51.0 , 39.0 , 34.2 , 51.9 , 75.5 ,,,,,,,,
Cpped1,Cpped1,223978,C530044N13Rik,calcineurin-like phosphoesterase domain containing 1,,16_11803684_11909476,8, 3.08 ,3,3.08,3.048211029,1.686601066,0.901120311,1.871671346,0.0613,0.99974,3,3.22, 7.8 , -   , 1.1 , 9.9 , 7.0 , 1.8 , 2.1 , -   , 1.6 , -   , 3.8 , 1.5 ,,,,,,,,
Ahr,Ahr,11622,"Ah, Ahhe, In, bHLHe76, Ahr",aryl-hydrocarbon receptor,,12_35497979_35534989,11, 0.17 ,6,-5.84,1.812969741,-2.183898609,1.168589598,-1.868832833,0.0616,0.99974,5,-4.54, 0.9 , -   , 1.1 , -   , 1.2 , -   , 0.7 , 1.2 , 7.8 , 2.1 , 0.8 , 6.0 ,,,,,,,,
Mllt10,Mllt10,17354,"Af10, B130021D15Rik, D630001B22Rik, mKIAA4140","myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10",,2_18055175_18212390,31, 7.98 ,8,7.98,1.491518026,2.304749213,1.234136503,1.867499428,0.0618,0.99974,5,4.94, 1.7 , -   , 4.6 , 1.2 , 1.2 , 7.2 , 1.4 , 0.6 , -   , -   , -   , -   ,,,,,,,,
Prr14,Prr14,233895,BC006909,proline rich 14,,7_127465025_127476767,12, 0.49 ,2,-2.03,5.070214953,-1.120087301,0.600683354,-1.86468843,0.0622,0.99974,2,-2.17, 4.3 , 5.1 , 3.4 , 2.5 , 1.2 , 3.6 , 6.1 , 9.7 , 3.1 , 5.2 , 9.2 , 7.6 ,,,,,,,,
Rpl34,Rpl34,68436,1100001I22Rik,ribosomal protein L34,,3_130726827_130730398,5, 0.46 ,2,-2.19,7.470269865,-1.014924064,0.544310378,-1.86460539,0.0622,0.99974,2,-2.02, 9.6 , 2.5 , 5.7 , 6.2 , 2.3 , 1.8 , 6.4 , 12.7 , 6.2 , 7.3 , 18.3 , 10.6 ,,,,,,,,
Fkbpl,Fkbpl,56299,"DIR1, NG7, Ppiase-X, Wisp39",FK506 binding protein-like,,17_34639132_34647316,4, 2.70 ,3,2.70,5.558077773,1.255539387,0.673811998,1.863337832,0.0624,0.99974,2,2.39, 6.1 , 5.1 , 6.9 , 3.1 , 18.6 , 9.0 , 6.6 , 5.5 , 3.1 , 2.1 , 0.8 , -   ,,,,,,,,
Xcr1,Xcr1,23832,"Ccxcr1, Gpr5, mXcr1",chemokine (C motif) receptor 1,,9_123852315_123862029,2, 2.78 ,3,2.78,5.444210546,1.334877659,0.716919493,1.861963125,0.0626,0.99974,3,2.52, 6.1 , 15.2 , 8.0 , 0.6 , 12.8 , 5.4 , 4.3 , 3.6 , 1.6 , 6.2 , -   , 1.5 ,,,,,,,,
Katna1,Katna1,23924,0,katanin p60 (ATPase-containing) subunit A1,,10_7726000_7763150,12, 1.28 ,1,1.28,506.2790211,0.356161482,0.191369746,1.861116971,0.0627,0.99974,1,1.28, 538.3 , 633.8 , 502.4 , 464.3 , 539.9 , 732.4 , 385.8 , 493.9 , 578.1 , 370.0 , 345.6 , 490.8 ,,,,,,,,
Ltbr,Ltbr,17000,"AI256028, CD18, LTbetaR, Ltar, TNF-R-III, TNFCR, TNFR-RP, TNFR2-RP, TNFRrp, Tnfbr, Tnfrsf3",lymphotoxin B receptor,,6_125306571_125313870,10, 0.34 ,3,-2.91,3.038602145,-1.582535295,0.850741856,-1.860182715,0.0629,0.99974,3,-2.99, 0.9 , 2.5 , 1.1 , 2.5 , 2.3 , -   , 8.2 , 8.5 , 3.1 , 2.1 , 0.8 , 4.5 ,,,,,,,,
Txlna,Txlna,109658,"2600010N21Rik, AI425952, AW209241, Il14, Txln",taxilin alpha,,4_129626077_129641065,12, 0.40 ,3,-2.52,5.36800092,-1.309763213,0.704237158,-1.859832583,0.0629,0.99974,2,-2.48, 3.5 , 2.5 , 6.9 , 3.1 , 2.3 , -   , 16.5 , 5.5 , 14.0 , 1.0 , 6.1 , 3.0 ,,,,,,,,
Vrk2,Vrk2,69922,"2810003O05Rik, AI447698",vaccinia related kinase 2,,11_26471398_26594014,16, 1.35 ,1,1.35,101.7462027,0.43940334,0.236453319,1.858309038,0.0631,0.99974,1,1.36, 126.1 , 126.3 , 71.1 , 102.3 , 140.8 , 134.6 , 71.4 , 86.2 , 118.4 , 102.6 , 61.0 , 80.0 ,,,,,,,,
Lrp1,Lrp1,16971,"A2mr, AI316852, CD91, Lrp, b2b1554Clo",low density lipoprotein receptor-related protein 1,,10_127538157_127621148,89, -   ,#DIV/0!,#DIV/0!,0.962527008,-3.003556842,1.616840202,-1.857670806,0.0632,0.99974,8,-8.02, -   , -   , -   , -   , -   , -   , 0.9 , -   , 3.1 , -   , 1.5 , 6.0 ,,,,,,,,
Bhlhe40,Bhlhe40,20893,"Bhlhb2, C130042M06Rik, CR8, Clast5, Dec1, Sharp2, Stra13, Stra14","basic helix-loop-helix family, member e40",,6_108660629_108666925,5, 4.18 ,4,4.18,3.850056935,1.764564951,0.950256732,1.856934965,0.0633,0.99974,3,3.40, 5.2 , -   , 3.4 , 3.7 , 7.0 , 18.0 , 6.6 , -   , 1.6 , -   , 0.8 , -   ,,,,,,,,
Chpt1,Chpt1,212862,0,choline phosphotransferase 1,,10_88469513_88503970,9, 0.60 ,2,-1.66,17.66430954,-0.677470956,0.364839121,-1.856903268,0.0633,0.99974,2,-1.60, 7.8 , 5.1 , 17.2 , 14.8 , 15.1 , 19.7 , 14.7 , 23.7 , 18.7 , 22.8 , 20.6 , 31.7 ,,,,,,,,
Rcsd1,Rcsd1,226594,"A430105K13Rik, BC025872, CapZIP",RCSD domain containing 1,,1_165648945_165710063,9, 0.48 ,2,-2.07,6.159014315,-1.088483751,0.586957696,-1.854450087,0.0637,0.99974,2,-2.13, 2.6 , 2.5 , 1.1 , 3.7 , 10.5 , 3.6 , 13.7 , 7.3 , 6.2 , 5.2 , 9.9 , 7.6 ,,,,,,,,
Reps1,Reps1,19707,BB161292,RalBP1 associated Eps domain containing protein,,10_18055492_18125155,20, 5.38 ,5,5.38,2.157895802,1.88940669,1.019010011,1.854159105,0.0637,0.99974,4,3.70, 1.7 , 10.1 , 4.6 , 3.1 , 2.3 , -   , 2.1 , 1.2 , -   , -   , 0.8 , -   ,,,,,,,,
Wdr44,Wdr44,72404,"2610034K17Rik, RAB11BP, RPH11",WD repeat domain 44,,X_23692952_23806026,20, 1.87 ,2,1.87,10.33435024,0.871680239,0.470258313,1.853620055,0.0638,0.99974,2,1.83, 10.4 , 22.7 , 6.9 , 9.2 , 8.1 , 23.3 , 5.2 , 7.3 , 12.5 , 3.1 , 7.6 , 7.6 ,,,,,,,,
Zc4h2,Zc4h2,245522,"Gm372, mKIAA1166","zinc finger, C4H2 domain containing",,X_95639187_95658509,5, 0.10 ,10,-10.00,1.361840957,-2.557235379,1.379779688,-1.853364998,0.0638,0.99974,6,-5.89, 0.9 , -   , -   , 0.6 , -   , -   , 1.9 , 1.8 , -   , 10.4 , 0.8 , -   ,,,,,,,,
Pck2,Pck2,74551,"1810010O14Rik, 9130022B02Rik, PEPCK-M",phosphoenolpyruvate carboxykinase 2 (mitochondrial),,14_55540263_55550017,10, 1.30 ,1,1.30,314.917641,0.376205332,0.202993964,1.853283341,0.0638,0.99974,1,1.30, 473.9 , 401.5 , 323.5 , 326.2 , 268.8 , 342.9 , 232.7 , 322.2 , 229.1 , 238.4 , 369.3 , 250.7 ,,,,,,,,
Cideb,Cideb,12684,"1110030C18Rik, AI790179, CIDE-B","cell death-inducing DNA fragmentation factor, alpha subunit-like effector B",,14_55754052_55758424,5, 0.22 ,5,-4.58,1.77995251,-2.184120792,1.179391824,-1.851904301,0.0640,0.99974,5,-4.54, 0.9 , -   , -   , -   , 1.2 , 1.8 , 0.3 , 1.2 , 3.1 , 8.3 , 3.1 , 1.5 ,,,,,,,,
Poldip3,Poldip3,73826,"1110008P04Rik, AA408269, AL022852, C77954, PDIP46, SKAR, mKIAA1649","polymerase (DNA-directed), delta interacting protein 3",,15_83125976_83149373,9, 0.30 ,3,-3.36,2.546849507,-1.722221652,0.930690872,-1.850476569,0.0642,0.99974,3,-3.30, 1.7 , -   , 1.1 , -   , 2.3 , 1.8 , 2.1 , 1.2 , 3.1 , 7.3 , 6.9 , 3.0 ,,,,,,,,
Hipk2,Hipk2,15258,"1110014O20Rik, B230339E18Rik, Stank",homeodomain interacting protein kinase 2,,6_38687512_38876190,16, 2.53 ,3,2.53,7.628890582,1.242617963,0.671731452,1.849873129,0.0643,0.99974,2,2.37, 7.0 , 12.6 , -   , 8.0 , 9.3 , 28.7 , 5.2 , 9.1 , 6.2 , 3.1 , 0.8 , 1.5 ,,,,,,,,
1190005F20Rik,1190005F20Rik,0,#N/A,#N/A,,#N/A,#N/A, 1.69 ,2,1.69,12.17825901,0.766812858,0.414591582,1.849562056,0.0644,0.99974,2,1.70, 13.9 , 15.2 , 10.3 , 14.2 , 22.1 , 16.2 , 7.1 , 9.7 , 1.6 , 12.4 , 8.4 , 15.1 ,,,,,,,,
Il21r,Il21r,60504,NILR,interleukin 21 receptor,,7_125603251_125633570,9, 0.55 ,2,-1.81,17.11112283,-0.841998195,0.455672737,-1.847813414,0.0646,0.99974,2,-1.79, 9.6 , 2.5 , 19.5 , 8.6 , 25.6 , 7.2 , 31.0 , 39.4 , 21.8 , 13.5 , 13.0 , 13.6 ,,,,,,,,
Nsun2,Nsun2,28114,"D13Wsu123e, Misu",NOL1/NOP2/Sun domain family member 2,,13_69612016_69635780,19, 1.47 ,1,1.47,76.76837125,0.543157175,0.293959847,1.847725738,0.0646,0.99974,1,1.46, 58.3 , 108.6 , 139.9 , 55.5 , 119.8 , 66.4 , 78.2 , 67.4 , 85.7 , 40.4 , 55.7 , 45.3 ,,,,,,,,
Comtd1,Comtd1,69156,"1810030M08Rik, MT773",catechol-O-methyltransferase domain containing 1,,14_21845861_21848910,7, 0.64 ,2,-1.57,22.4618272,-0.669109388,0.362156346,-1.847570519,0.0647,0.99974,2,-1.59, 15.7 , 15.2 , 17.2 , 17.9 , 10.5 , 28.7 , 18.7 , 32.2 , 14.0 , 22.8 , 46.5 , 30.2 ,,,,,,,,
Zbtb44,Zbtb44,235132,"6030404E16Rik, Btbd15, E230011F09",zinc finger and BTB domain containing 44,,9_31030395_31075885,6, 1.36 ,1,1.36,162.7186048,0.428816199,0.232101984,1.847533534,0.0647,0.99974,1,1.35, 114.8 , 270.2 , 183.5 , 134.4 , 226.9 , 193.9 , 125.2 , 123.2 , 166.7 , 110.9 , 161.0 , 142.0 ,,,,,,,,
Mrpl51,Mrpl51,66493,"2610511M02Rik, CDA09, HSPC241, Mrp64",mitochondrial ribosomal protein L51,,6_125192200_125194392,3, 0.75 ,1,-1.34,107.5656133,-0.422151899,0.228722612,-1.845693767,0.0649,0.99974,1,-1.34, 77.4 , 123.7 , 94.1 , 120.2 , 61.7 , 75.4 , 95.4 , 128.0 , 107.5 , 134.7 , 151.8 , 120.8 ,,,,,,,,
Snhg10,Snhg10,69434,"1700026B20Rik, AI642517",small nucleolar RNA host gene 10,,12_105030617_105032279,2, 2.01 ,2,2.01,6.115227312,1.053288435,0.570688707,1.845644434,0.0649,0.99974,2,2.08, 9.6 , 2.5 , 9.2 , 10.5 , 4.7 , 12.6 , 2.6 , 8.5 , 3.1 , 4.1 , 1.5 , 4.5 ,,,,,,,,
Clec5a,Clec5a,23845,"Clecsf5, Ly100, MDL-1, Mdl1","C-type lectin domain family 5, member a",,6_40574898_40585805,7, 1.73 ,2,1.73,20.3973826,0.828188338,0.448888441,1.844975863,0.0650,0.99974,2,1.78, 39.1 , 10.1 , 51.6 , 14.2 , 25.6 , 14.4 , 19.4 , 14.0 , 26.5 , 4.1 , 9.2 , 16.6 ,,,,,,,,
Mtfr1,Mtfr1,67472,"1300002C08Rik, 1700080D04Rik, 2810026O10Rik, 4930579E05Rik, Chppr, Fam54a2",mitochondrial fission regulator 1,,3_19187314_19220817,11, 1.49 ,1,1.49,97.11827419,0.561673736,0.304506715,1.844536451,0.0651,0.99974,1,1.48, 126.1 , 202.0 , 47.0 , 91.2 , 100.1 , 131.0 , 60.7 , 60.7 , 51.4 , 113.0 , 91.6 , 90.6 ,,,,,,,,
Fxr2,Fxr2,23879,Fxr2h,"fragile X mental retardation, autosomal homolog 2",,11_69632971_69653297,17, 1.78 ,2,1.78,22.98745178,0.801229142,0.434834621,1.842606601,0.0654,0.99974,2,1.74, 25.2 , 65.7 , 17.2 , 15.4 , 20.9 , 32.3 , 18.6 , 14.6 , 18.7 , 4.1 , 9.9 , 33.2 ,,,,,,,,
Peo1,Peo1,0,#N/A,#N/A,,#N/A,#N/A, 7.74 ,8,7.74,1.629858269,2.350231497,1.275959794,1.841932252,0.0655,0.99974,5,5.10, 0.9 , 10.1 , 5.7 , 0.6 , -   , -   , 0.9 , 0.6 , -   , -   , 0.8 , -   ,,,,,,,,
Cd53,Cd53,12508,"AI323659, Ox-44, Tspan25",CD53 antigen,,3_106758861_106790149,8, 1.26 ,1,1.26,803.4928819,0.338636053,0.183998936,1.840423973,0.0657,0.99974,1,1.26, 623.5 , 893.9 , 852.2 , 893.4 ," 1,135.6 ", 985.5 , 616.5 , 700.2 , 682.6 , 927.7 , 628.7 , 702.2 ,,,,,,,,
Dnaja2,Dnaja2,56445,"1500017M13Rik, 2010206B19Rik, DNAJ, DNJ3, Dnaj3, HIRIP4, PRO3015, mDj3",DnaJ heat shock protein family (Hsp40) member A2,,8_85537640_85555271,9, 1.29 ,1,1.29,156.3448312,0.364285545,0.198004492,1.839784247,0.0658,0.99974,1,1.29, 161.7 , 156.6 , 127.3 , 152.9 , 229.2 , 228.0 , 126.6 , 135.9 , 148.0 , 142.0 , 128.9 , 138.9 ,,,,,,,,
Lat2,Lat2,56743,"AW125574, LAB, NTAL, WSCR5, Wbscr15, Wbscr5","linker for activation of T cells family, member 2",T cells,5_134600103_134619783,14, 1.31 ,1,1.31,74.77220264,0.395375638,0.214938167,1.83948548,0.0658,0.99974,1,1.32, 74.8 , 93.4 , 102.1 , 96.2 , 71.0 , 71.8 , 59.1 , 61.9 , 48.3 , 79.8 , 66.4 , 72.5 ,,,,,,,,
E430025E21Rik,E430025E21Rik,0,#N/A,#N/A,,#N/A,#N/A, 0.33 ,3,-3.01,3.580024296,-1.713650867,0.931653679,-1.839364675,0.0659,0.99974,3,-3.28, -   , 2.5 , 3.4 , 0.6 , 2.3 , 1.8 , 10.1 , 0.6 , 12.5 , -   , 6.1 , 3.0 ,,,,,,,,
Lass5,Lass5,0,#N/A,#N/A,,#N/A,#N/A, 0.74 ,1,-1.35,64.912862,-0.410588487,0.223484816,-1.837209771,0.0662,0.99974,1,-1.33, 67.0 , 32.8 , 67.7 , 49.9 , 54.7 , 59.2 , 76.8 , 73.4 , 90.4 , 64.3 , 76.3 , 66.4 ,,,,,,,,
Wdyhv1,Wdyhv1,76773,"2410187C16Rik, AU014961, AW550036, Ntaq1",WDYHV motif containing 1,,15_58141335_58158654,7, 0.47 ,2,-2.12,8.931042922,-1.090746955,0.594425084,-1.834961182,0.0665,0.99974,2,-2.13, 5.2 , 5.1 , 12.6 , 4.9 , 1.2 , 5.4 , 3.6 , 17.6 , 4.7 , 10.4 , 27.5 , 9.1 ,,,,,,,,
Pot1b,Pot1b,72836,2810458H16Rik,protection of telomeres 1B,,17_55651190_55712647,19, 0.66 ,2,-1.51,31.89424251,-0.615300733,0.335349275,-1.834805617,0.0665,0.99974,2,-1.53, 20.9 , 22.7 , 41.3 , 19.7 , 14.0 , 34.1 , 38.0 , 34.0 , 15.6 , 44.6 , 51.1 , 46.8 ,,,,,,,,
Prep,Prep,19072,"AI047692, AI450383, D10Wsu136e, PEP, Pop",prolyl endopeptidase,,10_45067214_45159981,16, 0.53 ,2,-1.90,7.742735378,-0.959678178,0.523104526,-1.834582058,0.0666,0.99974,2,-1.94, 7.0 , 5.1 , 3.4 , 3.7 , 9.3 , 3.6 , 14.2 , 13.3 , 4.7 , 13.5 , 4.6 , 10.6 ,,,,,,,,
Ect2,Ect2,13605,"AI528536, mKIAA4037",ect2 oncogene,,3_27097222_27153909,25, 6.41 ,6,6.41,1.788979534,2.364653182,1.289067064,1.834391124,0.0666,0.99974,5,5.15, 4.3 , 10.1 , -   , -   , 2.3 , 1.8 , 1.4 , -   , -   , -   , -   , 1.5 ,,,,,,,,
Crnkl1,Crnkl1,66877,"1200013P10Rik, 5730590A01Rik, C80326, crn","Crn, crooked neck-like 1 (Drosophila)",,2_145917482_145934700,14, 1.50 ,2,1.50,97.39394836,0.581561224,0.317304116,1.832819669,0.0668,0.99974,1,1.50, 107.0 , 176.8 , 97.5 , 72.8 , 125.7 , 122.1 , 89.5 , 80.1 , 155.8 , 44.6 , 39.7 , 57.4 ,,,,,,,,
Uqcrc1,Uqcrc1,22273,1110032G10Rik,ubiquinol-cytochrome c reductase core protein 1,,9_108936648_108949641,13, 0.76 ,1,-1.32,414.3518815,-0.39996826,0.218372161,-1.831589976,0.0670,0.99974,1,-1.32, 378.3 , 378.8 , 273.0 , 482.1 , 313.0 , 314.1 , 275.5 , 456.9 , 436.3 , 544.2 , 529.5 , 590.5 ,,,,,,,,
Tspan5,Tspan5,56224,"2810455A09Rik, 4930505M03Rik, NET-4, Tm4sf9",tetraspanin 5,,3_138742208_138904433,10, 0.32 ,3,-3.17,3.654063057,-1.593705689,0.870227778,-1.831366143,0.0670,0.99974,3,-3.02, -   , -   , 6.9 , 1.8 , -   , 1.8 , 4.3 , 7.3 , 10.9 , 6.2 , 4.6 , -   ,,,,,,,,
Fdx1l,Fdx1l,68165,"B230118G17Rik, Fdx2",ferredoxin 1-like,,9_21067520_21073514,5, 0.22 ,5,-4.59,1.760659796,-1.951181665,1.065497334,-1.831240308,0.0671,0.99974,4,-3.87, 0.9 , -   , 2.3 , 0.6 , -   , -   , 1.9 , 3.6 , 4.7 , 1.0 , 4.6 , 1.5 ,,,,,,,,
Hsd11b1,Hsd11b1,15483,0,hydroxysteroid 11-beta dehydrogenase 1,,1_193221640_193264049,8, 0.64 ,2,-1.55,36.17944477,-0.60085551,0.328371247,-1.829805491,0.0673,0.99974,2,-1.52, 19.1 , 32.8 , 25.2 , 52.4 , 27.9 , 12.6 , 43.2 , 52.2 , 40.5 , 45.6 , 26.7 , 55.9 ,,,,,,,,
Isg20,Isg20,57444,"1600023I01Rik, 2010107M23Rik, 20kDa, DnaQL, HEM45",interferon-stimulated protein,,7_78913424_78920396,6, 1.41 ,1,1.41,6738.163086,0.495140803,0.27065625,1.829408345,0.0673,0.99974,1,1.41," 7,025.3 "," 8,413.6 "," 8,336.5 "," 4,462.0 "," 8,982.3 "," 10,079.4 "," 5,326.1 "," 6,285.0 "," 10,017.0 "," 3,126.1 "," 3,757.7 "," 5,046.9 ",,,,,,,,
